timestamp,ch,can_id,type,dlc,data_hex
2026-07-05 16:43:26.362,CAN1,003,FD,10,73 09 00 8F BC BB 55 3E B5 BF 00 00 30 27 65 01
2026-07-05 16:43:26.586,CAN1,003,FD,10,73 09 00 90 BC BB 55 3E B5 BF 00 00 30 27 65 01
2026-07-05 16:43:26.812,CAN1,003,FD,10,73 09 00 91 BC BB 55 3E B7 BF 00 00 30 A4 65 01
2026-07-05 16:43:27.035,CAN1,003,FD,10,73 09 00 92 BC BB 55 3E CD BF 00 00 30 74 65 01
2026-07-05 16:43:27.261,CAN1,003,FD,10,73 09 00 93 BC BB 55 3E E5 BF 00 00 30 B2 65 01
2026-07-05 16:43:27.485,CAN1,003,FD,10,73 09 00 94 BC BB 55 3E D0 BF 00 00 30 E4 65 01
2026-07-05 16:43:27.711,CAN1,003,FD,10,73 09 00 95 BC BB 55 3E 9A BF 00 00 30 B0 65 01
2026-07-05 16:43:27.935,CAN1,003,FD,10,73 09 00 96 BC BB 55 3E AA BF 00 00 30 34 65 01
2026-07-05 16:43:28.160,CAN1,003,FD,10,73 09 00 97 BC BB 55 3E 95 BF 00 00 30 DF 65 01
2026-07-05 16:43:28.384,CAN1,003,FD,10,73 09 00 98 BC BB 55 3E 9C BF 00 00 30 2C 65 01
2026-07-05 16:43:28.610,CAN1,003,FD,10,73 09 00 99 BC BB 55 3E 8E BF 00 00 30 D3 65 01
2026-07-05 16:43:28.834,CAN1,003,FD,10,73 09 00 9A BC BB 55 3E 8C BF 00 00 30 50 65 01
2026-07-05 16:43:29.058,CAN1,003,FD,10,73 09 00 9B BC BB 55 3E 8B BF 00 00 30 01 65 01
2026-07-05 16:43:29.283,CAN1,003,FD,10,73 09 00 9C BC BB 55 3E 8D BF 00 00 30 9D 65 01
2026-07-05 16:43:29.508,CAN1,003,FD,10,73 09 00 9D BC BB 55 3E 90 BF 00 00 30 0D 65 01
2026-07-05 16:43:29.733,CAN1,003,FD,10,73 09 00 9E BC BB 55 3E 80 BF 00 00 30 71 65 01
2026-07-05 16:43:29.957,CAN1,003,FD,10,73 09 00 9F BC BB 55 3E 93 BF 00 00 30 43 65 01
2026-07-05 16:43:30.182,CAN1,003,FD,10,73 09 00 A0 BC BB 55 3E 8F BF 00 00 30 1E 65 01
2026-07-05 16:43:30.407,CAN1,003,FD,10,73 09 00 A1 BC BB 55 3E 8E BF 00 00 30 D3 65 01
2026-07-05 16:43:30.632,CAN1,003,FD,10,73 09 00 A2 BC BB 55 3E AA BF 00 00 30 34 65 01
2026-07-05 16:43:30.856,CAN1,003,FD,10,73 09 00 A3 BC BB 55 3E 9F BF 00 00 30 62 65 01
2026-07-05 16:43:31.081,CAN1,003,FD,10,73 09 00 A4 BC BB 55 3E AD BF 00 00 30 65 65 01
2026-07-05 16:43:31.305,CAN1,003,FD,10,73 09 00 A5 BC BB 55 3E 96 BF 00 00 30 91 65 01
2026-07-05 16:43:31.531,CAN1,003,FD,10,73 09 00 A6 BC BB 55 3E C0 BF 00 00 30 98 65 01
2026-07-05 16:43:31.755,CAN1,003,FD,10,73 09 00 A7 BC BB 55 3E C6 BF 00 00 30 04 65 01
2026-07-05 16:43:31.980,CAN1,003,FD,10,73 09 00 A8 BC BB 55 3E B7 BF 00 00 30 A4 65 01
2026-07-05 16:43:32.205,CAN1,003,FD,10,73 09 00 A9 BC BB 55 3E DF BF 00 00 30 8B 65 01
2026-07-05 16:43:32.430,CAN1,003,FD,10,73 09 00 AA BC BB 55 3E D0 BF 00 00 30 E4 65 01
2026-07-05 16:43:32.654,CAN1,003,FD,10,73 09 00 AB BC BB 55 3E E2 BF 00 00 30 E3 65 01
2026-07-05 16:43:32.878,CAN1,003,FD,10,73 09 00 AC BC BB 55 3E C5 BF 00 00 30 4A 65 01
2026-07-05 16:43:33.104,CAN1,003,FD,10,73 09 00 AD BC BB 55 3E D6 BF 00 00 30 78 65 01
